ID,nDissSteps,pKa,pKa_1,pKa_2,pKaType,pKaType_1,pKaType_2,ChargeA,ChargeA_1,ChargeA_2,ChargeA_3,ChargeB,ChargeB_1,ChargeB_2,ChargeB_3,pKaserror,pKaserror_1,pKaserror_2
1,3,2.53,3.61,16,1,-1,0,0,0,-1,-1,1,0,0,0,0.1,0.1,0.1
2,3,2.11,4.94,16,1,-1,0,0,0,-1,-1,1,0,0,0,0.1,0.1,0.1
3,3,0.52,15,16,1,0,0,0,0,0,0,1,0,0,0,0.7,0.1,0.1
4,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
5,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
6,3,0.78,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
7,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1
8,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
9,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
10,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
11,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
12,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
13,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
14,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
15,3,0.23,15,16,1,0,0,0,0,0,0,2,1,1,1,0.2,0.1,0.1
16,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
17,3,4.65,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
18,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
19,3,4.3,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
20,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
21,3,4.78,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
22,3,3.26,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
23,3,3.3,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
24,3,3.32,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
25,3,1.67,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
26,3,1.87,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
27,3,1.87,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
28,3,3.12,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
29,3,2.76,4.7,16,-1,-1,0,0,-1,-2,-2,0,0,0,0,0.1,0.19,0.1
30,3,3.13,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
31,3,0.4,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
32,3,0.87,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
33,3,2.38,15,16,-1,0,0,0,-1,-1,-1,1,1,1,1,0.3,0.1,0.1
34,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
35,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
36,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
37,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
38,3,4.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
39,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
40,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
41,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
42,3,3.49,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
43,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
44,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
45,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
46,3,1.17,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
47,3,1.26,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
48,3,2.61,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.54,0.1,0.1
49,3,3.9,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
50,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
51,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
52,3,3.9,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
53,3,4.4,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
54,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
55,3,4.54,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
56,3,4.22,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
57,3,3.35,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
58,3,4.49,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
59,3,3.15,15,16,-1,0,0,0,-1,-1,-1,1,1,1,1,0.1,0.1,0.1
60,3,3.68,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
61,3,3.49,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
62,3,3.26,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
63,3,3.5,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
64,3,3.64,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
65,3,3.14,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
66,3,3.69,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
67,3,3.63,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
68,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
69,3,4.16,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
70,3,4.77,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
71,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
72,3,4.16,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
73,3,4.16,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
74,3,4.25,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
75,3,4.07,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
76,3,4.25,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
77,3,4.37,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
78,3,4.37,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.3,0.1,0.1
79,3,4.24,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.6,0.1,0.1
80,3,4.2,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.6,0.1,0.1
81,3,4.34,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.4,0.1,0.1
82,3,4.87,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.33,0.1,0.1
83,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
84,3,4.45,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
85,3,3.9,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.5,0.1,0.1
86,3,4.33,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
87,3,4.34,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
88,3,2.2,4.8,16,-1,1,0,0,-1,-1,-1,1,1,0,0,0.1,0.1,0.1
89,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
90,3,4.45,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
91,3,3.15,5.34,16,-1,-1,0,0,-1,-2,-2,0,0,0,0,0.1,0.1,0.1
92,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
93,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
94,3,2.93,4.23,5.09,-1,-1,-1,0,-1,-2,-3,0,0,0,0,0.28,0.21,0.21
95,3,2.37,15,16,-1,0,0,0,-1,-1,-1,1,1,1,1,0.1,0.1,0.1
96,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
97,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
98,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
99,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
100,3,3.34,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.7,0.1,0.1
101,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
102,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
103,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
104,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
105,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
106,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
107,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
108,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
109,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
110,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
111,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
112,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
113,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
114,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
115,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
116,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
117,3,4.04,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
118,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
119,3,1.89,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
120,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
121,3,3.73,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
122,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
123,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
124,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
125,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
126,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
127,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
128,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
129,3,2.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
130,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
131,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
132,3,3.02,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
133,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
134,3,1.92,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
135,3,2.89,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
136,3,0.63,15,16,1,0,0,0,0,0,0,1,0,0,0,0.22,0.1,0.1
137,3,1.57,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
138,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
139,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
140,3,-0.0943,15,16,1,0,0,0,0,0,0,1,0,0,0,0.7,0.1,0.1
141,3,0.31,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
142,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
143,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
144,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
145,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
146,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
147,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
148,3,2.3,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
149,3,4.84,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
150,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
151,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
152,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1
153,3,3.66,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.25,0.1,0.1
154,3,0.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
155,3,1.52,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
156,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
157,3,2.75,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
158,3,3.35,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
159,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
160,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
161,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
162,3,1.21,15,16,1,0,0,0,0,0,0,1,0,0,0,0.3,0.1,0.1
163,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
164,3,2.19,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
165,3,2.75,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
166,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
167,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
168,3,1.67,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
169,3,2.34,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
170,3,0.91,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
171,3,2.91,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
172,3,2.7,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
173,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1
174,3,3.06,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
175,3,3.06,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
176,3,2.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
177,3,3.27,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
178,3,2.68,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
179,3,2.4,15,16,1,0,0,0,0,0,0,1,0,0,0,0.4,0.1,0.1
180,3,2.98,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
181,3,2.4,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
182,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
183,3,2.31,15,16,1,0,0,0,0,0,0,1,0,0,0,0.11,0.1,0.1
184,3,3.66,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.25,0.1,0.1
185,3,2.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
186,3,-0.00316,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
187,3,3.88,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
188,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
189,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
190,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
191,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
192,3,2.97,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
193,3,1.41,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
194,3,0.48,1.54,16,1,1,0,0,0,0,0,2,1,0,0,0.1,0.1,0.1
195,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
196,3,1.45,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
197,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
198,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
199,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
200,3,2.57,15,16,1,0,0,0,0,0,0,1,0,0,0,0.11,0.1,0.1
201,3,2.8,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
202,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
203,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
204,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
205,3,0.6,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
206,3,4.9,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
207,3,3.74,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
208,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
209,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
210,3,0.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.7,0.1,0.1
211,3,0.23,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
212,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
213,3,3.63,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.25,0.1,0.1
214,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
215,3,1.41,15,16,1,0,0,0,0,0,0,1,0,0,0,0.11,0.1,0.1
216,3,-0.15,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
217,3,3.21,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
218,3,0.89,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.4,0.1,0.1
219,3,5.18,15,16,1,0,0,0,0,0,0,1,0,0,0,0.3,0.1,0.1
220,3,2.05,15,16,1,0,0,0,0,0,0,1,0,0,0,0.7,0.1,0.1
221,3,-0.3,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
222,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
223,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
224,3,0.71,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
225,3,2.56,4.21,16,1,-1,0,0,0,-1,-1,1,0,0,0,0.1,0.1,0.1
226,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
227,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
228,3,5.59,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.46,0.1,0.1
229,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
230,3,4.84,15,16,1,0,0,0,0,0,0,2,1,1,1,0.1,0.1,0.1
231,3,0.63,15,16,1,0,0,0,0,0,0,1,0,0,0,0.4,0.1,0.1
232,3,3.55,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
233,3,-0.32,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
234,3,5,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
235,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
236,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
237,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
238,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
239,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
240,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
241,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
242,3,1.54,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
243,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
244,3,-0.16,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
245,3,2.55,4.15,16,-1,-1,0,0,-1,-2,-2,0,0,0,0,0.1,0.1,0.1
246,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
247,3,0.71,3.72,16,1,-1,0,0,0,-1,-1,1,0,0,0,0.1,0.1,0.1
248,3,0.31,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
249,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
250,3,4.36,15,16,1,0,0,0,0,0,0,1,0,0,0,0.41,0.1,0.1
251,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
252,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
253,3,0.7,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
